CustomerId,R_score,F_score,M_score,Cluster_Label,Customer_Category
Cust-21944,35.06419,30.522,43.969,6,5. One-Time Buy
Cust-21945,68.50627,72.023,79.872,2,3. Need Attention
Cust-21946,76.98712,51.272,37.516,4,2. Potential Loyal
Cust-21947,67.64267,63.962,55.315,4,2. Potential Loyal
Cust-21948,35.5085,30.522,46.891,6,5. One-Time Buy
Cust-21949,63.26465,58.376,68.353,4,2. Potential Loyal
Cust-21950,57.90495,79.162,69.217,2,3. Need Attention
Cust-21951,66.59895,63.962,31.099,4,2. Potential Loyal
Cust-21952,99.21046,93.467,92.346,5,1. Loyal
Cust-21953,42.34021,41.855,76.848,3,4. At Risk
Cust-21954,36.54321,51.272,45.405,3,4. At Risk
Cust-21955,34.07151,51.272,57.905,3,4. At Risk
Cust-21956,35.5085,30.522,36.438,6,5. One-Time Buy
Cust-21957,64.11224,58.376,74.514,2,3. Need Attention
Cust-21958,34.07151,16.241,27.657,0,7. Lost
Cust-21959,33.25695,41.855,41.607,6,5. One-Time Buy
Cust-21960,34.87506,58.376,72.988,3,4. At Risk
Cust-21961,89.7049,41.855,58.587,4,2. Potential Loyal
Cust-21962,55.67442,72.023,68.612,2,3. Need Attention
Cust-21963,33.67624,51.272,56.864,3,4. At Risk
Cust-21964,35.8027,41.855,64.97,3,4. At Risk
Cust-21965,38.8468,41.855,24.148,1,6. Dormant
Cust-21966,33.46609,30.522,71.071,6,5. One-Time Buy
Cust-21967,62.04781,58.376,56.396,4,2. Potential Loyal
Cust-21968,78.24999,74.91,69.211,4,2. Potential Loyal
Cust-21969,40.88821,83.516,61.462,2,3. Need Attention
Cust-21970,35.96081,89.302,83.067,2,3. Need Attention
Cust-21971,47.88404,72.023,76.103,2,3. Need Attention
Cust-21972,35.6476,16.241,27.294,0,7. Lost
Cust-21973,46.78428,58.376,56.861,3,4. At Risk
Cust-21974,45.6565,51.272,17.258,1,6. Dormant
Cust-21975,35.37741,51.272,35.697,3,4. At Risk
Cust-21976,82.14568,41.855,48.789,4,2. Potential Loyal
Cust-21977,33.87437,16.241,4.531,0,7. Lost
Cust-21978,55.67442,79.162,80.73,2,3. Need Attention
Cust-21979,42.7515,72.023,57.14,3,4. At Risk
Cust-21980,34.87506,16.241,14.493,0,7. Lost
Cust-21981,83.51563,41.855,50.948,4,2. Potential Loyal
Cust-21982,39.06395,30.522,42.921,6,5. One-Time Buy
Cust-21983,33.46609,16.241,35.706,6,5. One-Time Buy
